frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
0,776.4490727299467,2408.9435129959543,19037.832832705433,3.671545766220039,0.09273782403858503,475.36081380397434,39380.0,,0,1
1,776.5388224235173,2408.8556870620405,18591.644537156608,3.6692396746376352,0.0954150181139005,473.262081500451,38524.0,,1,1
2,776.4225338442059,2408.735264158967,19213.50870086031,3.8147354763687806,0.11321459029951744,461.19075371676627,40412.0,,2,1
3,776.282882132196,2408.3295899990594,19441.44679912881,3.672882239220699,0.07562315221639758,475.65216819241294,39583.0,,3,1
4,776.2081359327227,2407.7191207677624,20765.988487732,3.814022802487771,0.09383849226497538,473.5799125538885,43372.0,,4,1
5,775.982478412496,2407.150278004098,21397.030441212075,3.7500208573514047,0.09330481638024543,478.0287753722914,42881.0,,5,1
6,775.8295871192404,2406.592341966642,21486.98776870321,3.7735248862799673,0.08237986594914774,471.67653914062333,45545.0,,6,1
7,775.9447538244192,2405.8918403912407,21446.887111943804,3.734751165073282,0.0651988856022217,458.3699393810608,44673.0,,7,1
8,776.0953700458068,2405.2237514125322,21072.842317449973,3.767829626855019,0.07162999681100869,483.5920913012408,43036.0,,8,1
9,776.0355561222789,2404.3523290667545,20710.280346564035,3.7404202720770647,0.08781992749349149,466.4863922285531,41735.0,,9,1
10,776.0877172103184,2403.348989111146,20565.282536625054,3.7408932516453075,0.09291738235547807,492.01755061114886,41769.0,,10,1
11,776.2367507040267,2402.4549684587305,20138.901003228322,3.7880586634996436,0.09889893718421318,479.6987613369631,41345.0,,11,1
12,776.2248105488849,2401.2920106975516,19863.099601230166,3.6760670418772423,0.08048178748519638,478.0728219334403,41201.0,,12,1
13,776.057931665077,2400.0739208488103,20132.266185431083,3.628016014001874,0.07483684627513718,485.6601145242636,40862.0,,13,1
14,776.017429228847,2398.90005649929,19608.24654091144,3.656910500530102,0.09394411692773641,458.06360253681146,40839.0,,14,1
15,776.0392181160566,2397.4679752649045,19446.815488796725,3.6475498522849112,0.07437017364711147,470.02400303685863,40668.0,,15,1
16,775.9977819207344,2395.64261579788,18926.487246452383,3.573282829439354,0.05706160332122424,485.9040481694801,38968.0,,16,1
17,775.9300915089917,2393.745920540733,19237.365379104303,3.6646769503290764,0.06264963592463677,474.2550515474824,39715.0,,17,1
18,776.1642578919118,2391.7525591716317,18801.536865159327,3.671530957568705,0.058478801492441876,471.7339573527099,39991.0,,18,1
19,776.1736532571284,2389.3329940162303,18477.847720917754,3.566657236704671,0.059287501559934126,477.96968265115134,38603.0,,19,1
20,776.231538074185,2386.667727683611,18606.77214370179,3.669934357940178,0.026802093166598803,469.4479525905201,38489.0,,20,1
21,776.4510727005776,2383.902644091199,18446.544305975345,3.6852535869719345,0.04640202800069516,480.74509006954156,38325.0,,21,1
22,776.5439857987102,2380.8862595898327,18955.796473535123,3.683329987076656,0.0574209645267764,489.7237843981834,39634.0,,22,1
23,776.757681697954,2377.519554548172,18667.48597370869,3.7270278750716836,0.013079351583256394,462.91686405281905,39958.0,,23,1
24,776.9624513748522,2373.9972469585446,18495.716803693165,3.6303345669929694,0.01183984066285606,481.53070722974576,38010.0,,24,1
25,777.1513406835462,2370.0884042834655,17879.780555544738,3.7129917342621552,0.03493776032631539,406.84428748869806,38345.0,,25,1
26,777.3549608138101,2366.408538552758,16477.401257687427,3.7531331556366765,0.04591439281515261,377.0724443154343,36069.0,,26,1
27,776.711182877428,2362.7394062532876,12361.258483343534,3.8935192448658884,0.1279652114861491,277.6092203098093,28374.0,,27,1
28,776.5258306220699,2357.835704002662,11825.042655515039,3.907090606160168,0.0556854405548602,268.0550677957161,27299.0,,28,1
29,776.688862933489,2351.540499996611,11553.925836313489,3.8452138715154187,0.07929575855229706,270.1247903419767,28414.0,,29,1
30,777.1240859519478,2345.1752396896813,12704.27313006983,4.060074091931193,0.10027259882896587,298.21724661741825,29348.0,,30,1
31,776.7259949864346,2337.9311961746625,13258.288297634514,3.8529222847288804,0.10180623573291539,327.090879845519,30385.0,,31,1
32,776.963807620885,2331.1574660211363,12760.351785008446,3.702086748205515,0.07301509227426002,319.7255976072581,29088.0,,32,1
33,777.1416286841194,2324.4138055415574,12815.302613181453,4.042483339044254,0.09011367090993745,295.545288188378,29967.0,,33,1
34,777.1602230760608,2317.809495353394,12149.023879612034,3.938540509370481,0.12946249365927387,298.4797473398544,28084.0,,34,1
35,775.5231128654582,2311.5787895662343,9106.453710638676,4.061530111598774,0.1520336262397089,245.07942770451803,20971.0,,35,1
