horizonal,z
0,0
-0.10481648767515,0.0313875629261986
-0.201689231376849,0.065337569154309
-0.290755096581741,0.101865787536411
-0.372150948766467,0.140987986924586
-0.446013653407636,0.182719936170969
-0.512480075981951,0.227077404127527
-0.571687081965997,0.274076159646313
-0.623771536836466,0.323731971579292
-0.668870306069972,0.37606060877863
-0.707120255143147,0.431077840096435
-0.738658249532668,0.488799434384504
-0.763621154715172,0.549241160495114
-0.782145836167273,0.612418787280291
-0.794369159365634,0.678348083591999
-0.800427989786902,0.747044818282319
-0.800459192907712,0.818524760203303
-0.794599634204717,0.892803678206974
-0.782986179154547,0.96989734114544
-0.76575569323386,1.04982151787073
-0.743045041919273,1.13259197723482
-0.714991090687457,1.21822448808987
-0.681730705015038,1.30673481928787
-0.643400750378674,1.39813873968092
-0.600138092254993,1.49245201812096
-0.55207959612064,1.58969042346015
-0.49936212745227,1.68986972455045
-0.442120293847395,1.79300569024397
-0.380466049004275,1.89913096422123
-0.314710049246229,2.00929067987005
-0.245496905575235,2.12609932962476
-0.173499980555756,2.2523064045474
-0.0993926367522197,2.39066139569991
-0.0238482367290479,2.5439137941442
0.0524598569492738,2.71481309094236
0.128858281718332,2.90610877715622
0.204673675013691,3.12055034384784
0.279232674270914,3.3608872820792
0.351861916925537,3.62986908291225
0.421888040413144,3.93024523740891
0.488637206208316,4.26476523663129
0.55140701812832,4.63617857164121
0.609450815621466,5.04723473350069
0.662018130448431,5.50068321327174
0.708527512072743,5.99842180144887
0.749073580769354,6.53894148625662
0.783919974516024,7.11988155535229
0.813330331290577,7.73888129639298
0.837568289070789,8.39357999703583
0.856897485834443,9.08161694493816
0.87158155955931,9.80063142775697
0.881884148223226,10.5482627331495
0.888068889803957,11.3221501487729
0.890399422279282,12.1199329622844
0.889139362689867,12.9392504613411
0.884552244327863,13.7777419336002
0.876901579548302,14.6330466667189
0.866450880706173,15.5028039483543
0.853463660156521,16.3846530661637
0.838203430254355,17.2762333078041
0.820634414007991,18.1753611354403
