frame,y,x,frame,particle
0,646.8073475026972,2498.9476071293243,0,0
1,646.735135275957,2499.0025989018363,1,0
2,646.7929303450185,2498.9769381650513,2,0
3,646.8147029909752,2498.9625238559347,3,0
4,646.7456833857434,2499.0477244080416,4,0
5,646.8801862527565,2498.885491412303,5,0
6,646.7655432630888,2499.02251188109,6,0
7,646.8828068239953,2498.8680022646645,7,0
8,646.7011117233518,2498.90749476616,8,0
9,646.8094581892274,2498.5537184176405,9,0
10,646.6369226922862,2498.459812481441,10,0
11,646.7589723804947,2497.662909093818,11,0
12,646.6832245946947,2496.9942339765066,12,0
13,646.8495062705895,2496.44546898559,13,0
14,646.6235630775107,2495.7947796620388,14,0
15,646.811627415829,2494.7157434739465,15,0
16,646.9511990606404,2493.5732437200086,16,0
17,646.8332432429116,2492.4706115955846,17,0
18,646.9297926912793,2490.5811764334503,18,0
19,647.393290529358,2487.7560606811094,19,0
20,648.303532557307,2485.0706129672603,20,0
21,650.9457791494073,2478.061211013515,21,0
22,651.7963743150448,2465.8548916719524,22,0
23,651.4778195676939,2452.487855533997,23,0
24,652.6604518981901,2438.0362706856245,24,0
25,654.311074366994,2422.6269870045353,25,0
26,653.9902472023653,2406.2512867200758,26,0
27,653.7757250319559,2390.116915452805,27,0
28,653.6485200760878,2373.4330566728304,28,0
29,655.2803642368017,2356.443079246261,29,0
30,656.3660370707773,2339.7662524066204,30,0
31,657.0741285851885,2321.521912942592,31,0
32,658.1118663835276,2303.5186330922966,32,0
33,659.5609165317923,2286.313454171117,33,0
34,662.6241874616331,2269.393793949414,34,0
35,664.1379514353922,2254.1260533511722,35,0
38,679.9723053391832,2202.559576807087,38,0
39,689.4584154862492,2188.558725450027,39,0
40,698.7146703694611,2180.8543796842487,40,0
41,706.043993145672,2156.2565584705103,41,0
42,723.132437671895,2152.6353006796817,42,0
43,732.1517502623983,2136.791767005855,43,0
44,738.9217565821587,2122.304833344294,44,0
45,744.0706024098846,2107.2945691300606,45,0
46,754.7434031840479,2092.568813412291,46,0
47,760.1570585770761,2076.555431477556,47,0
48,763.2220498016451,2059.480606647074,48,0
49,764.8002369160951,2042.0654432017875,49,0
50,767.3735388123981,2024.688638155152,50,0
51,768.1333854116577,2008.0937567175238,51,0
52,770.4021179290555,1991.3473226318606,52,0
53,719.9342712861868,1973.4173555701748,53,0
54,717.5471468955647,1956.0202479870538,54,0
55,770.862305956017,1934.26848645177,55,0
56,767.0426931843782,1915.0813005159462,56,0
57,765.0517253686228,1894.3978056810881,57,0
58,758.0798548424335,1875.173340932824,58,0
59,753.0639968841001,1854.3348366669436,59,0
60,745.9014434542569,1836.2232946251763,60,0
61,736.1809074070882,1818.0510812727985,61,0
62,725.2088801852815,1802.017820970874,62,0
63,715.3310353219465,1786.9797372279556,63,0
64,704.3378324220307,1772.301012917767,64,0
65,692.2457738907619,1757.3608729851974,65,0
66,680.2346370949055,1746.094661025343,66,0
67,669.2332236941289,1736.0082222280785,67,0
68,657.0447726341267,1724.8856754039011,68,0
69,643.938334032557,1712.1960566334096,69,0
70,623.1605881387612,1673.6212686310532,70,0
71,587.1051168662315,1698.7847595844937,71,0
72,578.1422461289623,1683.5981024402122,72,0
73,610.8874408768065,1655.813772776587,73,0
74,603.9780158623639,1641.0486333585984,74,0
75,598.1717497721411,1626.19576918274,75,0
76,592.4972491483185,1611.8848353234675,76,0
77,590.1661387091707,1597.1753861037391,77,0
78,591.0676262670462,1582.2520991010244,78,0
79,558.3393698430523,1563.0683024719908,79,0
80,564.3560200010254,1545.281567352814,80,0
81,569.7853429850772,1530.82581998038,81,0
82,612.0608187757844,1526.8637601927803,82,0
83,607.6759029599892,1473.0442591015942,83,0
84,625.4291691704732,1495.703420995538,84,0
85,619.7086167169642,1445.5207044717217,85,0
86,623.5815692040001,1428.4311374557194,86,0
87,628.0818128350645,1413.7669579569638,87,0
88,612.5780834444421,1429.5990080456852,88,0
89,619.2148425684635,1414.6830330347123,89,0
90,667.7010078030913,1405.4738900859056,90,0
91,630.5685575126872,1381.2627883796608,91,0
92,634.6705531282081,1364.2817323368483,92,0
93,638.2003023016309,1347.3437814104714,93,0
94,643.2492902708029,1330.9278031854312,94,0
95,646.9960115744266,1314.1667609271724,95,0
96,696.3975522222697,1297.2503260764308,96,0
97,697.955981296791,1277.1554450601209,97,0
98,694.3223740922746,1257.5254887871442,98,0
99,690.2138638612332,1239.0483889583065,99,0
100,686.5104009461077,1220.2946751418515,100,0
101,683.3431696891149,1201.2195166356464,101,0
102,679.926847163262,1182.3807860927602,102,0
103,673.2670702858909,1163.5945432929957,103,0
104,665.7596759162426,1152.381297582653,104,0
105,651.3647718169964,1144.8555761489704,105,0
106,641.0132975517176,1129.4193251494976,106,0
107,634.4892025415784,1111.6842081355026,107,0
108,627.888890938709,1096.058141206459,108,0
109,622.6277552674608,1081.7273374226183,109,0
110,616.921229426927,1066.0552878693945,110,0
111,608.170616734815,1051.1423820978737,111,0
112,600.0225913170567,1035.8946845749424,112,0
113,592.417771030741,1023.3358667162152,113,0
114,587.8841880230889,1008.185952330561,114,0
115,586.2353287600396,991.7434965862304,115,0
116,587.0183891333921,976.0998599521529,116,0
117,544.951132698342,956.9757700167103,117,0
118,547.1293162840718,939.000119367353,118,0
