frame,y,x,frame,particle
0,794.6104862506619,2484.5817872230186,0,0
1,794.3545180996339,2481.9515677402464,1,0
2,794.0605937097026,2477.5467853472396,2,0
3,793.382070250618,2472.917806012832,3,0
4,792.764415211858,2466.6027380538076,4,0
5,791.8643838206077,2458.3518640005204,5,0
6,791.8799163982793,2450.522068648526,6,0
7,791.8344313634806,2441.802064787905,7,0
8,791.9477428504127,2432.375943618901,8,0
9,791.9269549359627,2422.8867767601923,9,0
10,792.0080867774377,2413.09192826917,10,0
11,792.1251296014574,2403.1657847913293,11,0
12,791.9093274496822,2393.244989628448,12,0
13,791.8423628957803,2382.9150175531277,13,0
14,792.1078144560072,2372.375053829319,14,0
15,792.2743423274933,2361.9931206159004,15,0
16,792.0146926335866,2351.362333900186,16,0
17,792.6435462389137,2340.524202249039,17,0
18,792.5215479684363,2329.6941045797453,18,0
19,792.6237189912518,2318.521356867098,19,0
20,793.418139991047,2307.869416286094,20,0
21,792.9477073677505,2296.1431551148157,21,0
22,793.0826602873544,2285.685673973389,22,0
23,792.9956991228886,2275.683354632478,23,0
24,793.2309303667759,2266.6995179736637,24,0
25,793.6650176844076,2259.0543796276575,25,0
26,794.0912530464449,2252.9053891765693,26,0
27,794.2249220234047,2247.242553277027,27,0
28,794.0553892021869,2241.709601784038,28,0
29,793.5428177275509,2235.543991653866,29,0
30,792.9867011167374,2228.3002920837193,30,0
31,792.9707588683667,2219.9605814227866,31,0
32,793.6774366458803,2211.331721507231,32,0
33,793.9205403919462,2203.190909885416,33,0
34,793.6490942540502,2194.462876736135,34,0
35,793.5633187187984,2185.30350413958,35,0
36,793.7221153497029,2176.9953658940017,36,0
37,794.014051735849,2168.393081525696,37,0
38,794.2635110934118,2159.3776204805436,38,0
39,792.9754670080554,2151.04930640646,39,0
40,792.4907677171949,2141.7595483046284,40,0
41,793.8845155801758,2132.6696481485856,41,0
42,794.0519065287436,2123.576495994701,42,0
43,794.0733172218239,2114.771868171393,43,0
44,794.1759097325349,2106.264697482309,44,0
45,794.7204582946187,2097.996957270369,45,0
46,794.7570348855808,2089.616137709508,46,0
47,794.5867191367149,2081.585268017268,47,0
48,794.592898287428,2073.1856287330716,48,0
49,794.5139826392616,2064.4333153553025,49,0
50,794.2999557159317,2055.650651557671,50,0
51,793.9420860698114,2047.0071965738398,51,0
52,794.2269549112317,2037.7228832117298,52,0
53,794.2058319235401,2028.3721432647765,53,0
54,794.2360113156424,2018.9346477995446,54,0
55,794.2474236344427,2009.534164784105,55,0
56,794.6014716510248,1999.8068959971727,56,0
57,794.1335832477433,1989.5427694318757,57,0
58,794.2141308256395,1979.6234606262947,58,0
59,794.3087459298556,1969.4118528057086,59,0
60,794.3160953484377,1959.1102891209393,60,0
61,794.2874493059317,1948.6588683882158,61,0
62,794.6227972492961,1938.5205657012343,62,0
63,794.6896198691236,1928.2783409792976,63,0
64,794.5707026280415,1918.0744269536299,64,0
65,794.8934927220503,1907.9449753701417,65,0
66,795.2396296757386,1897.7197958791205,66,0
67,795.408014793036,1887.9218081987106,67,0
68,795.750151053112,1877.959359857966,68,0
69,795.6856911915123,1867.9218539184508,69,0
70,796.1816240986309,1858.0213626000846,70,0
71,795.9703363072401,1847.8070144965832,71,0
72,795.8446768634599,1837.7782678900805,72,0
73,796.0908430194326,1827.5578114659145,73,0
74,796.4939065038579,1817.9388718816933,74,0
75,796.3646199025443,1807.6395408894093,75,0
76,796.7061265045302,1796.980905832906,76,0
77,796.930017666751,1786.8748341629305,77,0
78,797.3949593595961,1776.6815614797388,78,0
79,797.4053342227662,1766.7337397847443,79,0
80,797.429229791262,1756.7968276182512,80,0
81,798.0709965333946,1747.0698968237127,81,0
82,797.9658689671994,1737.5340555107002,82,0
83,798.431353736056,1728.4044503936518,83,0
84,798.5376288332523,1719.7902158087552,84,0
85,798.3349813746122,1710.780189342752,85,0
86,798.4853325866166,1702.3109674506718,86,0
87,797.852394473562,1693.677615573801,87,0
88,797.6450767460439,1684.942528815453,88,0
89,796.7233903319728,1674.8943442915067,89,0
90,795.6217354992991,1665.162612438252,90,0
91,794.8754625841505,1655.335032139669,91,0
92,793.7409951246716,1644.9618789088092,92,0
93,793.3020311688927,1634.8591062016856,93,0
94,793.3245262296977,1624.4222404069233,94,0
95,792.6998685555718,1613.951660680107,95,0
96,792.6732091631618,1604.0399764406995,96,0
97,792.7403894574437,1595.4970723896533,97,0
98,792.4167691693724,1587.2327314055365,98,0
99,792.8465614157976,1578.7767336454262,99,0
100,792.4263766985498,1570.574805567374,100,0
101,793.5733545983015,1561.7181343336295,101,0
102,793.9479503733521,1552.9370201475924,102,0
103,794.4123243694537,1544.3540323992406,103,0
104,794.4728618231886,1535.5957765374944,104,0
105,795.3386616872098,1526.7597878148447,105,0
106,795.5087099250594,1517.7490614512885,106,0
107,796.201477096542,1508.7628776817742,107,0
108,795.5315065953234,1500.0362585378186,108,0
109,795.9181138132353,1491.818631918164,109,0
110,795.5778105357784,1483.9674399979735,110,0
111,804.6742149338587,1446.6187379511944,111,0
112,795.0289650455016,1468.4867800820198,112,0
113,794.5092275503125,1460.1984912596847,113,0
114,794.0004347306083,1452.5073608769285,114,0
115,793.8842365614312,1444.4839866430668,115,0
116,793.4215395390886,1436.2608552377837,116,0
117,792.4936390110489,1427.8964561988387,117,0
118,792.4087221979456,1420.15712171785,118,0
119,791.9518495298478,1410.7876691582733,119,0
120,791.9356463530074,1401.4577879380192,120,0
121,792.0085644430982,1391.371786419833,121,0
122,792.3426784971647,1381.3600495244436,122,0
123,793.1046268321903,1371.3804949666999,123,0
124,793.0751109682137,1362.3097673793263,124,0
125,793.5169754660634,1354.4569644812436,125,0
126,794.0407273923727,1345.907686880806,126,0
127,795.3742470700196,1337.9198824075334,127,0
128,796.4407235259665,1329.8948802669686,128,0
129,797.4398193261542,1321.6748453897715,129,0
130,798.7553143333147,1313.4140174111585,130,0
131,799.6478907385566,1305.3806456157886,131,0
132,799.8392417015475,1296.0322235121541,132,0
133,800.74933552126,1287.4536999533661,133,0
134,800.9605151358186,1278.1715973223818,134,0
135,802.0444900180207,1269.0293787346332,135,0
136,801.8843946765254,1260.4557681744884,136,0
137,802.1922373781666,1251.0958574586987,137,0
