frame,y,x,frame,particle
0,644.2442512205214,2486.347366717957,0,0
1,644.0997756954462,2484.9682197116217,1,0
2,644.232022029039,2483.7855289610293,2,0
3,644.1241626440417,2482.5691293795603,3,0
4,644.4597878100922,2481.665427060328,4,0
5,644.4737580708708,2479.903297033123,5,0
6,645.6527580439592,2477.703749699505,6,0
7,644.1972254064636,2475.3674942970333,7,0
8,644.4655135679443,2472.5264740955085,8,0
9,644.3055392797974,2468.941428919018,9,0
10,644.4307223080704,2464.8381641526726,10,0
11,644.005998765808,2459.944194172536,11,0
12,642.6418098491928,2454.609138172602,12,0
13,642.5002388813939,2448.0736368174744,13,0
14,642.7832056581801,2440.9611707020476,14,0
15,640.5378624385963,2432.050705022333,15,0
16,632.1945204534279,2421.494203254033,16,0
17,631.0874523969389,2411.6175930839113,17,0
18,630.033193409039,2398.943213251185,18,0
19,663.5690888390976,2382.901736672995,19,0
20,628.8359783726268,2372.9158816419936,20,0
21,628.596819241775,2357.9577224064165,21,0
22,661.8537477894922,2340.878366892286,22,0
23,629.481996892312,2327.2994718282202,23,0
24,629.4902706766163,2311.77731985848,24,0
25,629.4962212616147,2297.0922932420963,25,0
26,661.6336077577023,2281.093909812306,26,0
27,661.6172650603044,2265.831023014435,27,0
28,661.5135726202186,2250.5289099476695,28,0
29,661.4954093923801,2235.2084891604504,29,0
30,661.6299587113419,2219.643156906165,30,0
31,659.0260057003261,2204.2744296909686,31,0
32,662.4186787478475,2188.465971297345,32,0
33,662.4354090160116,2173.3151606599013,33,0
34,664.4569379968345,2158.3456168895905,34,0
35,644.1986753919432,2142.418012416215,35,0
36,647.2402239124758,2128.4689549356503,36,0
37,665.5253696247021,2116.606025305185,37,0
38,667.3532906264033,2104.4234711543336,38,0
39,670.5699585523322,2093.4076064540964,39,0
40,673.7312613276953,2083.977238348457,40,0
41,659.3919049549748,2075.443962506522,41,0
42,662.5240341010136,2068.107827825338,42,0
43,663.1192232066018,2059.530809911368,43,0
44,684.1438488288926,2050.2051299394598,44,0
45,686.6099481728747,2039.9177277989186,45,0
46,697.5349365229416,2029.0741230816045,46,0
47,699.7176029418889,2017.3310910091539,47,0
48,701.4326746475526,2004.9174017912485,48,0
49,701.7314890860094,1992.2956376929515,49,0
50,702.53406109121,1979.4179579920888,50,0
51,703.4129185355215,1966.129488994902,51,0
52,703.5587105810156,1952.2442042957537,52,0
53,702.6392249147796,1937.9054508892425,53,0
54,701.449693988268,1923.3619115710694,54,0
55,678.4487346355122,1909.6493047885883,55,0
56,677.7692044686049,1895.1640037934428,56,0
57,677.0998719654369,1880.5057801722896,57,0
58,675.3963089106539,1866.0340105074852,58,0
59,673.5245552737031,1851.9191108391515,59,0
60,670.31936230502,1838.0287128316836,60,0
61,667.2853620544118,1824.5584771530575,61,0
62,683.541068660923,1809.6460303088445,62,0
63,674.5622283901179,1796.2455250022394,63,0
64,681.6649840755458,1782.7594099735563,64,0
65,664.7742450565313,1715.0190943555215,65,0
66,677.9092444334615,1756.9440132778734,66,0
67,672.6217004392329,1742.5982805202066,67,0
68,671.4623237932801,1729.1065726576992,68,0
69,662.7980679636635,1713.949228137612,69,0
70,661.4588292525256,1699.622811672237,70,0
71,660.7508548164602,1684.7156438664238,71,0
72,651.8019049867471,1670.0560126565783,72,0
73,660.935494377873,1655.1329626217203,73,0
74,661.9845851469071,1640.5073201609205,74,0
75,655.9765726664882,1625.2497467679216,75,0
76,665.2820124372048,1611.7373536298192,76,0
77,674.2818571522513,1549.9593340962904,77,0
78,676.5900620729032,1537.5996018949866,78,0
79,652.4564036301126,1570.1034714015818,79,0
80,656.4056968735006,1556.6518980255005,80,0
81,659.4674813164403,1543.3736759980293,81,0
82,661.9790240584631,1530.2085089127315,82,0
83,664.3935524435302,1516.6035366455465,83,0
84,667.452377310738,1503.1154829725913,84,0
85,673.073438689898,1488.9100724877983,85,0
86,674.0355390218283,1474.5673996818089,86,0
87,675.2486886788162,1459.716111698533,87,0
88,674.7932228604558,1444.395600070388,88,0
89,675.0407237109489,1427.1820292611685,89,0
90,673.2294543477136,1413.2868132140238,90,0
91,671.4948772098154,1400.6045275276256,91,0
92,668.6153696556726,1388.6417344785434,92,0
93,665.2007143120571,1376.4858594142045,93,0
94,662.2740890062832,1363.8810158796864,94,0
95,659.9654580339709,1350.858741522162,95,0
96,658.0582531886382,1337.804157611918,96,0
97,656.1213039507332,1324.7059091352717,97,0
98,654.5146404141941,1311.6922166524885,98,0
99,653.18000865452,1298.6543923963256,99,0
100,653.0747554587024,1284.7773434365556,100,0
101,653.4152823512834,1269.6941303223211,101,0
102,651.5443343183739,1256.2666222543687,102,0
103,646.1735566924384,1244.5609026396423,103,0
104,647.515326004287,1232.167617176892,104,0
105,649.261777734275,1219.830166242815,105,0
106,654.5502787586275,1207.940560873866,106,0
107,662.4157652440026,1196.0111305902708,107,0
108,676.6810908114278,1184.120610877446,108,0
109,659.5932492939453,1171.2648488824482,109,0
110,680.8571409830536,1157.9993249169756,110,0
111,661.2866263402218,1144.8963512955581,111,0
112,662.3615837850052,1131.7466467185186,112,0
