frame,y,x,frame,particle
0,794.2593418758424,2461.2420259336836,0,0
1,794.2889226342711,2461.0494998979384,1,0
2,794.2238860048141,2460.481471979318,2,0
3,794.1747475252083,2459.8236162211674,3,0
4,794.069498926773,2459.0413076203286,4,0
5,793.7938389303057,2458.02247483286,5,0
6,791.928062644223,2456.2436211129684,6,0
7,790.6540721746999,2451.8683518019134,7,0
8,791.0786355852725,2444.863701577905,8,0
9,790.6812866835778,2436.4671224007543,9,0
10,789.9850576156998,2427.9290353586457,10,0
11,790.1557432391402,2418.6807253926563,11,0
12,790.4408898807121,2408.64522058664,12,0
13,790.2922937181053,2398.548306095219,13,0
14,790.3033219007101,2388.6692139757974,14,0
15,790.5798325326713,2378.5896705272994,15,0
16,790.4283122104554,2368.3126462937803,16,0
17,789.8980103205175,2358.061630814751,17,0
18,789.7088090704549,2347.7007587992007,18,0
19,789.5173159219341,2337.2251173817735,19,0
20,788.8389938536859,2326.6336808160727,20,0
21,787.9923056614238,2316.166776499147,21,0
22,787.0328278363219,2305.380266098797,22,0
23,785.7179748257959,2294.571767525772,23,0
24,783.6530531861002,2284.07937412866,24,0
25,780.9180983012897,2274.206701945406,25,0
26,777.7165512656038,2264.5941809921505,26,0
27,773.4457892069837,2255.753044532089,27,0
28,768.0019571692087,2248.16906382375,28,0
29,762.5736146027582,2242.4186548033695,29,0
30,758.0316428421658,2238.0785885192395,30,0
31,755.6924416925751,2233.590891258977,31,0
32,754.4613448917721,2228.2164680726755,32,0
33,752.89559595025,2222.100500454339,33,0
34,751.0414644474422,2215.2999654076834,34,0
35,748.9260793620053,2208.094851751744,35,0
36,746.7867195843638,2200.8133769215005,36,0
37,744.5256336250599,2193.438232523768,37,0
38,741.842417303952,2185.7560364084025,38,0
39,739.7152835042302,2178.0255747759757,39,0
40,737.9298923669601,2170.1997616748426,40,0
41,736.4832749273105,2161.8629210084905,41,0
42,735.0586780540626,2153.0206075371966,42,0
43,734.6357401752816,2144.0106357341333,43,0
44,734.7565576741998,2134.9013786085197,44,0
45,735.4307122968124,2125.4996102387554,45,0
46,736.5609262735916,2115.9852472153593,46,0
47,738.5218584222614,2106.611901009972,47,0
48,740.8893049908875,2097.3301570975636,48,0
49,743.8936886983084,2088.1707918122916,49,0
50,747.095589401601,2079.364889401158,50,0
51,750.8394651564421,2070.8708174194453,51,0
52,754.2857170435348,2062.4259077230827,52,0
53,758.0689622032136,2054.2357253868463,53,0
54,761.9370665828538,2046.1688931404908,54,0
55,765.6558742483687,2037.9645696110467,55,0
56,768.9170858769494,2029.5671933827502,56,0
57,772.6106297346511,2021.31321087513,57,0
58,775.9417408538288,2012.76625466306,58,0
59,779.0400592001153,2004.0742933862741,59,0
60,782.1814436187,1995.0286129398316,60,0
