frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
0,648.5956661258318,2470.8021422011584,839199.3254008603,18.375080266386977,0.39024549277618237,2960.6091976809803,1262376.0,,0,0
1,648.6088157398348,2469.6893170202998,851747.7084214322,18.42165615985612,0.3782945558575938,2971.750030995559,1262891.0,,1,0
2,648.6489260145967,2468.5150399512468,864386.2403042387,18.469076269780068,0.3617947353029172,2987.3679375142337,1293502.0,,2,0
3,648.3827099545242,2466.857533268814,873272.0779881895,18.421730707800638,0.37298846933013935,2988.202275589033,1279948.0,,3,0
4,648.1681585782699,2465.7530639032175,900613.2854081899,18.46256267919635,0.3486620577187071,2980.895174195588,1347906.0,,4,0
5,648.238642537082,2463.994084361066,893420.8673308132,18.60094099397711,0.35040999725543753,2944.935087340581,1323359.0,,5,0
6,648.4770822887065,2462.0665062461835,900409.9481870322,18.652007859301424,0.3734461696274111,2968.0035704767542,1336019.0,,6,0
7,648.7001758207326,2460.1172674968698,906433.649862402,18.750318631187017,0.37102553853744424,3045.3410604227674,1339038.0,,7,0
8,648.5026798779033,2457.511670803893,890300.0225557751,18.533327610336737,0.3609274794177093,3066.176140220793,1311608.0,,8,0
9,648.5650264295657,2454.7072107271842,878029.6928621046,18.485623247765375,0.3852282848708996,3072.853937670625,1274497.0,,9,0
10,648.8415801811284,2452.068161889423,877855.2441507796,18.583483377268017,0.3833196068003667,3024.855117420786,1294948.0,,10,0
11,649.0498019950644,2449.1751529937155,890713.8705799386,18.67592368524618,0.3846623244774061,3162.966100258111,1316613.0,,11,0
12,649.5596876904776,2445.668634559409,873668.4739744384,18.897025243658348,0.40923753184337364,3066.925285842836,1295872.0,,12,0
13,649.6417833394082,2442.4949325865064,867636.8964961112,18.483848306418913,0.38806751704526943,2876.513980714636,1303019.0,,13,0
14,649.5075873510045,2438.622770875029,862226.8656891689,18.377858639532416,0.3830933207280378,2949.6872435189343,1311186.0,,14,0
15,649.3052108953789,2434.198588137767,852617.9268784174,18.166539216498137,0.3874116849361369,2908.8464142343946,1318555.0,,15,0
16,649.1791731923919,2429.0728107169834,849156.0855063355,17.864839293819458,0.40319579288733315,2968.552978059571,1335465.0,,16,0
17,649.5587649894326,2423.7194601581446,878279.2364386288,16.3859815953529,0.5167179245111253,3086.6538974069417,1394417.0,,17,0
