x,y,u,v,ax,ay,a_along_v,a_perp_v
0.0201029574361469,-0.0390161047920884,-7.06583584579688,33.2872312881534,370.242383636528,-1778.83724523057,-1816.94515280876,7.18883475302181
-0.0107463299742258,0.106632000948795,-5.30350671372119,25.2614939812998,334.689269193746,-1431.45767751088,-1469.68369279291,33.4340030041122
-0.0332283856547549,0.216493664751907,-3.71894315385942,18.9726545130446,299.136154750963,-1084.07810979119,-1121.3737642448,85.0215741507859
-0.0482320374665099,0.299253375810238,-2.31214516621157,14.4207128833879,263.58304030818,-736.698542071497,-769.136645754172,143.630014921652
-0.0566461132705604,0.363595623316783,-1.08311275077763,11.6056690923296,228.029925865397,-389.318974351806,-408.823614922677,190.866871829753
-0.059359440927976,0.418204896464532,-0.0318459075575995,10.5275231398698,192.476811422614,-41.9394066321153,-42.5214571798935,192.349064056389
-0.0572608482998263,0.471765684446479,0.841655363448513,11.1862750260085,156.923696979831,305.440161087576,316.352918084226,133.564852781775
-0.0512391632471808,0.532962476455615,1.53739106224071,13.5819247507456,121.370582537048,652.819728807267,662.328483133536,47.1741142514175
-0.0421832136311091,0.610479761684932,2.05536118881899,17.7144723140812,85.8174680942651,1000.19929652696,1003.42482756807,30.0314172679959
-0.0309818273126807,0.713002029327424,2.39556574318336,23.5839177160152,50.2643536514821,1347.57886424665,1345.75974967902,86.1742232697597
-0.0185238321529653,0.849213768576081,2.55800472533381,31.1902609565476,14.7112392086992,1694.95843196634,1690.48925412885,123.881347779811
-0.00569805601303244,1.0277994686239,2.54267813527035,40.5335020356786,-20.8418752340837,2042.33799968603,2037.02657798216,148.666100100567
0.00660667324604835,1.25744361866386,2.34958597299298,51.613640953408,-56.3949896768666,2389.71756740572,2384.680707944,165.010205708296
0.0175015277632075,1.54683070788897,1.97872823850169,64.4306777097358,-91.9481041196496,2737.09713512541,2732.9847984253,175.924053327501
0.0260976796773753,1.90464522549222,1.43010493179648,78.9846123046621,-127.501218562432,3084.4767028451,3081.66305849076,183.319079919294
0.0315063011274824,2.33957166066659,0.703716052877362,95.2754447381868,-163.054333005215,3431.85627056479,3430.55835594641,188.397302987431
0.0330032718689294,2.85961080272166,-0.0522015434324294,112.687845115224,-109.665334554052,3410.03790123279,3410.08833673974,108.085656210916
0.0317791976985838,3.46481542982211,-0.355878078957351,129.221991276743,-11.8052796559166,3203.62056337493,3203.64092612171,2.98247958849446
0.0302599915368403,4.15011057100694,-0.170254339991594,144.724050748973,86.0547752422194,2997.20322551707,2997.09991621313,89.580643149897
0.0308921547561523,4.9103357928297,0.504669673464843,159.194023531914,183.914830140355,2790.78588765922,2791.3548997563,175.066727592342
0.0361221887289732,5.74033066184393,1.66889396141196,172.631909625565,281.774885038491,2584.36854980136,2586.97168419949,256.77887800772
0.0483965948277564,6.6349347446032,3.32241852384975,185.037709029927,379.634939936627,2377.9512119435,2384.38336806788,336.883671443881
0.0701618744249552,7.58898760766106,5.46524336077823,196.411421745,477.494994834763,2171.53387408564,2183.97508843915,416.909641854045
0.103864528893023,8.59732881757105,8.09736847219738,206.753047770784,575.355049732899,1965.11653622779,1986.12736687186,498.010558895777
0.150568008581969,9.65484858011217,10.3889632446404,216.092970642536,341.28285924431,1770.85261247316,1785.19834363684,255.851204791503
0.205803559752022,10.7566396579651,11.5101970646405,224.461573895515,107.210668755722,1576.58868871853,1580.01036523218,26.3299572565693
0.263719377640969,11.897845453036,11.4610699321976,231.858857529722,-126.861521732866,1382.3247649639,1374.37576034457,194.953509602067
0.318463657486594,13.0736093672311,10.2415818473118,238.284821545155,-360.933712221454,1188.06084120927,1171.46622323854,411.617048777199
0.364184594526682,14.2790748024563,7.8517328099831,243.739465941814,-595.005902710041,993.796917454637,974.124315782386,626.694626435895
0.39503038399902,15.5093851606179,4.29152282021143,248.222790719701,-829.078093198628,799.532993700006,785.081740533684,842.775268572452
0.405149221141391,16.759683843622,-0.439048122003189,251.734795878814,-1063.15028368722,605.269069945375,607.122376260236,1062.0930246362
0.388689301191583,18.0251142533748,-6.33998001666075,254.275481419155,-1297.2224741758,411.005146190745,443.211707993897,1286.57481694583
0.340719501959059,19.3004722542386,-12.8588633207533,255.636324814535,-1310.33084746123,133.33221196142,198.992090444208,1301.97794009562
0.259991431540004,20.5791635604015,-19.443288491273,255.608803538769,-1323.43922074665,-144.340722267904,-43.5454238628153,1330.57484238051
0.146177380602283,21.8542463485077,-26.0932555282198,254.192917591856,-1336.54759403207,-422.013656497228,-283.326355702422,1372.65479037792
-0.00105036018623854,23.1187787952015,-32.8087644315937,251.388666973797,-1349.65596731749,-699.686590726551,-519.140270208941,1428.85476351015
-0.182019500157698,24.3658190771271,-39.5898152013947,247.19605168459,-1362.76434060291,-977.359524955876,-749.553198448355,1500.17608691004
-0.397057748644231,25.5884253709288,-46.4364078376228,241.615071724238,-1375.87271388833,-1255.0324591852,-972.797651052079,1588.0166650695
-0.646492814977972,26.7796558532509,-53.3485423402781,234.645727092738,-1388.98108717376,-1532.70539341452,-1186.62677833812,1694.21697915564
-0.930605151936786,27.9326063491931,-60.2411569116708,226.355785009972,-1300.01530323165,-1729.0576637882,-1336.55540464572,1700.9702653643
-1.24683981904221,29.0426315911846,-66.0084481818361,217.626219334375,-1006.90120483448,-1762.76860645059,-1394.62446046397,1475.20365050405
-1.5882470162685,30.1085876180147,-70.3101689600156,208.728098945466,-713.787106437311,-1796.47954911298,-1474.62580864575,1249.92380894725
-1.94749889115572,31.129631656117,-73.1463192462092,199.661423843245,-420.673008040142,-1830.19049177537,-1573.78834174998,1024.57467822037
