frame,y,x,frame,particle
0,629.6396959901663,2487.8829317754125,0,0
1,629.6241733715744,2487.7965969136058,1,0
2,629.6336940608894,2487.5318973052454,2,0
3,629.6724078849234,2487.4419193955287,3,0
4,629.506768504142,2487.5811299209636,4,0
5,629.5195509466645,2487.239318434363,5,0
6,629.5925254831877,2486.2147967176015,6,0
7,629.7163192296023,2485.262285405105,7,0
8,629.6959480160482,2483.9052890023613,8,0
9,629.5636917465172,2482.5850503672364,9,0
10,629.8655081090678,2481.358298068204,10,0
11,629.6664553572868,2479.7774674613256,11,0
12,629.807091131628,2478.2481034287425,12,0
13,629.6835187392772,2476.308367090586,13,0
14,629.8294854627194,2474.1828780723163,14,0
15,629.6202545388835,2472.115041777602,15,0
16,629.6955811013669,2469.240395433357,16,0
17,629.5693438493189,2466.4561328628524,17,0
18,629.5196653160264,2463.595898265452,18,0
19,629.4468921267697,2460.2186966647882,19,0
20,629.3337226210002,2456.380970829849,20,0
21,629.2703296787367,2452.4782010871986,21,0
22,629.1494161692217,2448.0291883702803,22,0
23,629.0988420001939,2443.370785611568,23,0
24,629.016098449447,2437.971800780884,24,0
25,628.946952552568,2432.2158293394214,25,0
26,628.7074973159649,2426.423498343292,26,0
27,628.2672681862235,2419.9654176841095,27,0
28,627.7591463489609,2413.0587968158384,28,0
31,626.1202494917754,2385.2856042330577,31,0
32,626.083494628653,2373.4277228437413,32,0
33,625.0337729600839,2361.0662914258914,33,0
34,624.3091913289782,2348.5211374202618,34,0
35,624.2837666655561,2334.9500703132376,35,0
36,624.9470818332225,2321.1384408602153,36,0
37,625.3368735115328,2307.934407207829,37,0
38,625.7133208548759,2294.6438871218024,38,0
39,625.7727522218801,2281.005985145918,39,0
40,625.7318183949909,2267.4262834507176,40,0
41,625.4861555158562,2253.5001825908794,41,0
42,625.809311352429,2239.4497743541256,42,0
43,625.9957773852285,2224.994846545151,43,0
44,625.7209344740164,2210.745580498542,44,0
45,625.3966102578642,2196.5787360648096,45,0
46,625.1958691821108,2183.4108278751123,46,0
47,625.2898236082331,2168.427667660045,47,0
48,625.4128315996825,2154.8525530416264,48,0
50,626.3146252689144,2128.4657779748277,50,0
51,626.2853898974514,2116.2926973688454,51,0
52,626.2630409425259,2105.495796000906,52,0
53,625.8947229495408,2094.9841150464104,53,0
54,626.0212544265949,2085.026085535433,54,0
55,626.6616084929334,2074.4468964521047,55,0
56,626.5389330297577,2065.1855221339124,56,0
57,626.3106973408953,2053.9580042431826,57,0
58,626.916707787662,2043.3028992436014,58,0
59,627.080498755305,2033.112959522739,59,0
60,627.6452671565432,2022.6384715485085,60,0
61,627.1415574309335,2012.5281243974903,61,0
62,627.0111722417284,2001.8855366581479,62,0
63,627.0080148402843,1990.944986901044,63,0
64,626.8784151390281,1979.4796518880594,64,0
65,626.6864044000426,1967.9593040219552,65,0
66,626.6665222842454,1955.8449332795706,66,0
67,626.3203306140082,1944.1018986773333,67,0
68,626.4426211566501,1931.828214246627,68,0
69,626.7565358115488,1919.198171391186,69,0
70,623.4883097319558,1905.5287255256123,70,0
71,623.5925450407389,1893.1078032800679,71,0
72,619.3022447717894,1880.088834693807,72,0
73,619.4730156929683,1870.1540282204107,73,0
74,621.8623748629645,1860.3374081317143,74,0
75,623.9956025995737,1848.4719939498655,75,0
76,623.8300022191911,1835.5935093110154,76,0
77,623.4522352791884,1821.4426121766558,77,0
78,623.5038053244726,1808.8355848875185,78,0
79,623.0177134611203,1796.3879120541583,79,0
80,622.7561556353884,1784.1516435139056,80,0
81,622.6324089706554,1771.2095868230567,81,0
82,622.7585049967581,1758.2131003893248,82,0
83,622.7745135426513,1745.0283878769662,83,0
84,622.6141528850086,1732.138527067461,84,0
85,622.7305401645783,1718.8895861008818,85,0
86,622.7867467215881,1705.1905782907913,86,0
87,623.6200799502669,1691.2006554462987,87,0
88,622.4934494659586,1677.6364744445282,88,0
89,622.2940791388457,1663.514025842009,89,0
90,623.1892028349959,1649.6523364075128,90,0
91,622.3853702044399,1636.016473111533,91,0
92,622.11210502505,1623.7489865420844,92,0
93,621.1552964758005,1605.4315030404575,93,0
94,621.5814218765433,1596.897348568931,94,0
95,621.6829835699615,1585.832774785475,95,0
96,621.5577428709133,1571.729472153032,96,0
97,621.5388780777334,1559.183113276107,97,0
98,621.9713552840883,1546.693302937488,98,0
99,622.0688969860041,1534.0571517308238,99,0
100,622.066420106618,1521.075400598257,100,0
101,622.3671780063295,1508.5823115484923,101,0
102,622.5613356436028,1496.0736335281358,102,0
103,622.6435356966739,1482.8322310929245,103,0
104,622.559706473956,1469.955231728088,104,0
105,622.5356563924316,1456.960519017297,105,0
106,621.9725251618089,1443.4176516365617,106,0
107,622.0225625252884,1429.4889710478205,107,0
108,622.3068718329507,1416.440452140063,108,0
109,622.2002379688189,1402.230264538257,109,0
110,622.4816937417834,1388.5772896035517,110,0
111,622.4607324409113,1374.4989015133222,111,0
112,622.8807270441548,1361.0649513330427,112,0
113,622.2425239830939,1346.5291380880353,113,0
114,622.2681511058997,1332.077103176512,114,0
115,621.1733327409873,1318.2119262622814,115,0
116,618.9390898136753,1302.637663236573,116,0
117,620.0938328864468,1290.0525793763359,117,0
118,620.3360253264317,1275.2308025028592,118,0
119,622.4304534686469,1262.0636255730797,119,0
120,622.493550935647,1247.5696179311328,120,0
121,622.7406352340257,1233.8125089586788,121,0
122,622.3412221750771,1219.2176837030004,122,0
123,622.4911030231732,1205.0814734752398,123,0
124,622.0878479391525,1191.1335422187149,124,0
125,622.1087402801431,1176.4331260643985,125,0
126,621.7090236946603,1162.3139230612808,126,0
127,621.1029594021707,1148.9810547727677,127,0
128,621.518390793157,1134.294447661432,128,0
129,621.0441681874703,1119.7948383411313,129,0
130,621.0104293512945,1105.8910555047692,130,0
131,620.9834555447061,1090.3372684318558,131,0
132,621.0405362530511,1075.1828425187202,132,0
133,620.9459046452131,1060.656909145034,133,0
134,620.7331331791296,1045.9993275047689,134,0
135,620.8422657835797,1031.3611620744543,135,0
136,620.8305099629931,1017.4081952608021,136,0
137,621.3873578635506,1002.276505087769,137,0
138,621.4754905047741,988.0707125498424,138,0
139,622.1356979114553,973.6185365999357,139,0
140,622.4253356660387,958.6436790287357,140,0
141,622.9455857245716,943.5897920961532,141,0
142,623.7628613149235,928.9690718311213,142,0
143,624.3342242873962,915.3584891633437,143,0
144,625.3766329666756,900.1854431394511,144,0
145,625.939344666582,886.0084102164875,145,0
146,625.9884481087685,871.1437771388646,146,0
147,626.4442189410713,857.0983687872064,147,0
148,626.793734758454,842.6694359090035,148,0
149,627.2013607275177,827.9972335081557,149,0
150,626.7976855704549,813.5563530093108,150,0
151,625.4337551072421,797.7818685883543,151,0
