frame,y,x,frame,particle
0,787.5756810795931,2456.531126634995,0,0
1,787.7183749447519,2456.4360206547,1,0
2,787.6895430077047,2456.192866919351,2,0
3,787.5041146296555,2455.5433704581937,3,0
4,787.5317849346804,2455.3320130094676,4,0
5,787.5637222606031,2455.0537405725763,5,0
6,787.4530829453935,2454.3596540876983,6,0
7,787.4072643309108,2453.864054471261,7,0
8,787.3574001926129,2453.1347477498493,8,0
9,787.2853253074901,2452.1818239191834,9,0
10,786.9957814543882,2450.6629076228382,10,0
11,786.275785726867,2448.93848034521,11,0
12,784.1320679379054,2444.5719341168174,12,0
13,784.0326222448542,2438.2004359963653,13,0
14,784.3544793546704,2429.7285594037767,14,0
15,783.8141319224562,2421.1876703164257,15,0
16,783.5652402996832,2412.1068385555986,16,0
17,783.9563311062929,2402.372135714343,17,0
18,784.3685708348685,2391.765767018358,18,0
19,784.3111790895707,2382.0824690762524,19,0
20,784.1986491191237,2372.056399960245,20,0
21,784.2758551496963,2361.7492438135664,21,0
22,784.2251241426015,2351.3222946920473,22,0
23,784.0286696873559,2340.8915254761664,23,0
24,783.3833354173586,2330.40594628986,24,0
25,783.4410198958783,2320.0968952261524,25,0
26,783.2069134444286,2309.323099525028,26,0
27,782.198017026488,2298.344019622179,27,0
28,781.153165211755,2287.722072589491,28,0
29,780.3000961434335,2277.69812391124,29,0
30,778.9908966932156,2267.4097596651795,30,0
31,776.3743175314763,2257.847772821924,31,0
32,774.0000741462702,2249.1342291062438,32,0
33,770.4830363682722,2241.381884126837,33,0
34,767.0622659822409,2234.903483651928,34,0
35,763.5537592249233,2230.365966957934,35,0
36,761.3010998726369,2226.875203570647,36,0
37,759.9490579793205,2222.353601026255,37,0
38,758.9995439680214,2216.371887835955,38,0
39,758.1467291319043,2209.8489933292403,39,0
40,757.0327982730572,2203.1732675509948,40,0
41,755.4375886199618,2196.139210322514,41,0
42,754.1100940507409,2188.9850795512416,42,0
43,752.3659454750826,2181.9111509869394,43,0
44,750.9588447624719,2174.6784668160485,44,0
45,749.2340357060742,2167.293144839721,45,0
46,748.0210118255304,2159.815781419773,46,0
47,746.9728889224127,2151.8698328366413,47,0
48,746.0223046766963,2143.3427083574325,48,0
49,745.1932204680127,2134.5526619493176,49,0
50,744.998745683996,2125.480224562057,50,0
51,745.0064304789786,2115.9502795687586,51,0
52,745.288531311375,2106.2039517224025,52,0
53,746.3280914168047,2096.581846521623,53,0
54,748.173550329104,2087.008086347756,54,0
55,749.5995681280515,2077.2040975843825,55,0
56,752.13190323459,2067.8532310731357,56,0
57,754.1822944681413,2058.5914637604865,57,0
58,756.4112113974596,2049.526495942814,58,0
59,759.081868616379,2040.549290618569,59,0
60,761.3545345432053,2031.7131911636388,60,0
61,763.5997974396488,2022.8649321886326,61,0
62,766.3322946372489,2014.0321373851564,62,0
63,768.4920590267166,2005.0927734552158,63,0
64,771.1237659472773,1996.302275495333,64,0
65,773.2289491555825,1987.175390042952,65,0
66,775.2584154132439,1977.7743983283444,66,0
67,777.2755790537755,1968.3879177473632,67,0
68,779.3589797341823,1958.9632103291724,68,0
69,781.2960200532333,1949.4032398311967,69,0
70,783.3414448417022,1939.9594410873622,70,0
71,785.1979380214084,1930.4292130525264,71,0
72,786.533398443911,1920.7023518002536,72,0
73,788.1994393019817,1910.7029771887667,73,0
74,789.2874058392005,1900.731950352864,74,0
75,790.1556113530518,1890.5919497996679,75,0
